index,noisy_label,is_noisy,real_label,mistakes,label_pred,preds
0,9,False,9,2,9,9|9|9|8|0
1,0,False,0,3,8,0|0|8|8|8
2,4,True,0,5,0,0|0|0|0|8
3,3,False,3,3,3,3|3|8|9|0
4,0,False,0,4,-1,3|0|8|8|3
5,2,False,2,1,2,2|2|2|2|8
6,7,False,7,2,7,7|7|7|5|3
7,2,False,2,5,-1,4|4|0|8|8
8,6,True,5,5,5,5|5|5|5|5
9,5,False,5,0,5,5|5|5|5|5
10,0,False,0,2,0,0|0|0|3|9
11,9,False,9,0,9,9|9|9|9|9
12,5,False,5,0,5,5|5|5|5|5
13,5,False,5,1,5,5|5|5|5|3
14,3,True,7,4,7,7|7|7|7|3
15,9,False,9,1,9,9|9|9|9|0
16,1,False,1,3,-1,1|1|8|5|8
17,0,False,0,3,-1,0|0|8|9|8
18,4,True,6,5,-1,6|2|8|8|6
19,4,False,4,3,-1,4|6|4|0|0
20,3,False,3,2,3,3|3|8|8|3
21,1,False,1,3,-1,1|1|8|5|8
22,4,False,4,2,4,4|4|8|8|4
23,0,True,8,5,8,8|8|3|8|8
24,8,True,4,4,2,2|2|2|8|2
25,3,False,3,3,-1,3|3|8|8|4
26,0,False,0,2,0,0|0|0|8|7
27,4,True,2,3,-1,4|2|8|4|8
28,4,False,4,3,-1,4|4|8|0|8
29,4,False,4,2,4,4|4|8|4|8
30,3,True,5,5,5,5|5|5|5|1
31,3,False,3,2,3,3|3|8|8|3
32,6,False,6,3,-1,6|4|4|6|8
33,6,False,6,2,6,6|6|6|8|1
34,0,False,0,2,0,0|0|8|0|9
35,6,True,8,5,8,8|8|8|5|0
36,5,False,5,0,5,5|5|5|5|5
37,2,False,2,2,2,2|2|2|8|8
38,1,False,1,3,-1,1|1|5|3|5
39,2,True,6,5,6,6|6|6|8|6
40,4,True,6,5,6,6|6|6|8|8
41,3,True,7,5,7,7|7|5|8|7
42,9,False,9,2,9,9|9|9|0|0
43,5,False,5,2,5,5|5|8|8|5
44,9,False,9,1,9,9|9|9|9|0
45,2,False,2,3,-1,2|2|8|8|0
46,7,False,7,3,7,7|7|1|8|5
47,3,False,3,2,3,3|3|3|5|8
48,0,False,0,3,-1,0|0|8|8|9
49,3,False,3,2,3,3|3|3|4|4
50,3,False,3,2,3,3|3|5|3|1
51,3,False,3,1,3,3|3|3|3|5
52,7,False,7,2,7,7|7|7|5|3
53,2,False,2,2,2,2|2|2|8|8
54,1,True,2,5,8,2|2|8|8|8
55,6,False,6,2,6,0|6|9|6|6
56,6,False,6,4,0,0|0|7|6|5
57,8,False,8,1,8,8|8|8|9|8
58,3,False,3,1,3,3|3|3|8|3
59,3,False,3,2,3,3|3|3|8|8
60,5,False,5,0,5,5|5|5|5|5
61,0,False,0,1,0,0|0|0|0|6
62,5,False,5,0,5,5|5|5|5|5
63,5,False,5,1,5,5|5|5|1|5
64,0,False,0,2,0,0|0|0|8|9
65,2,False,2,2,2,2|2|2|6|6
66,0,False,0,2,0,0|0|9|0|9
67,4,True,0,5,0,0|0|5|3|1
68,4,False,4,1,4,4|4|4|4|6
