index,noisy_label,is_noisy,real_label,mistakes,label_pred,preds
0,6,False,6,4,3,1|6|3|3|3
1,9,False,9,2,9,9|9|9|1|8
2,9,False,9,3,-1,0|9|9|3|3
3,4,False,4,1,4,4|4|2|4|4
4,1,False,1,1,1,1|1|1|3|1
5,5,True,1,5,-1,1|1|3|3|6
6,2,False,2,5,3,4|4|3|3|3
7,7,False,7,1,7,7|7|7|3|7
8,8,False,8,5,0,0|0|0|0|0
9,3,False,3,0,3,3|3|3|3|3
10,4,False,4,1,4,4|4|4|6|4
11,7,False,7,3,3,7|7|3|3|3
12,7,False,7,4,3,9|7|2|3|3
13,2,False,2,3,2,2|2|3|8|1
14,5,True,9,5,9,9|9|3|9|9
15,9,False,9,1,9,9|9|9|3|9
16,9,False,9,2,9,9|9|5|9|3
17,3,False,3,1,3,3|3|1|3|3
18,2,False,2,4,3,3|3|3|3|2
19,7,True,6,5,3,3|3|3|3|3
20,1,True,4,5,-1,5|4|2|3|0
21,3,False,3,2,3,3|6|3|0|3
22,6,False,6,0,6,6|6|6|6|6
23,6,False,6,3,3,6|6|3|3|3
24,5,True,2,5,-1,4|4|6|3|6
25,7,True,6,5,3,3|1|3|3|3
26,3,False,3,0,3,3|3|3|3|3
27,5,False,5,5,4,4|4|3|4|3
28,4,False,4,2,4,4|4|3|4|7
29,0,False,0,0,0,0|0|0|0|0
30,0,False,0,0,0,0|0|0|0|0
31,9,False,9,0,9,9|9|9|9|9
32,1,False,1,1,1,1|1|3|1|1
33,3,False,3,1,3,3|3|3|3|1
34,4,False,4,1,4,4|4|4|4|3
35,6,True,0,5,0,0|0|3|3|0
36,3,False,3,0,3,3|3|3|3|3
37,7,False,7,5,3,3|3|3|3|2
38,3,False,3,3,3,8|3|9|1|3
39,1,True,3,5,6,2|2|6|6|6
40,5,False,5,2,5,5|5|5|2|4
41,2,False,2,0,2,2|2|2|2|2
42,2,False,2,4,3,4|2|3|3|0
43,7,False,7,4,3,7|3|3|2|9
44,1,False,1,2,1,1|1|3|1|3
45,1,False,1,4,-1,9|9|3|3|1
46,1,False,1,0,1,1|1|1|1|1
47,5,True,2,5,4,4|4|4|2|4
48,2,False,2,5,4,4|4|4|0|3
49,0,False,0,3,-1,0|0|3|3|7
50,9,False,9,5,0,0|0|3|0|0
51,5,False,5,5,9,3|9|9|9|3
52,7,False,7,4,-1,3|7|3|4|4
53,5,True,9,5,9,9|9|9|3|0
54,2,False,2,1,2,2|2|0|2|2
55,2,False,2,4,3,3|2|0|4|3
56,5,False,5,5,3,3|3|3|3|3
57,2,False,2,1,2,2|2|2|2|3
58,4,False,4,2,4,4|4|2|4|2
59,3,False,3,4,9,9|9|9|3|4
60,1,False,1,3,1,1|1|9|3|7
61,1,False,1,1,1,1|1|9|1|1
62,8,False,8,2,8,8|8|8|3|2
